firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
306,"Bau-, Terrain- und Immobilien-Gesellschaften, Schachtbau, Asphaltgewinnung und -Verarbeitung.",306,7045,7046,7046
307,Asphaltgewinnung und -Verarbeitung. Grundstücks-Aktiengesellschaft in Liqu.,306,7046,7047,7072
308,"Imag, Immobilien- & Handels-Aktiengesellschaft",306,7072,7072,7122
309,"Baustoffwerke, Akt.-Ges.",307,7122,7122,7144
310,Gemeinnützige Heimstätten-Akt.-Ges. Bergedorf,307,7144,7144,7165
311,"Kölner Passage-Akt.-Ges., Bergisch Gladbach. cm Konkurs.),",308,7165,7165,7175
312,Ada Grundstücks-Akt.-Ges.,308,7175,7175,7192
313,Admiralspalast Aktien-Gesellschaft,308,7192,7192,7245
314,"Agrippina Akt.-Ges. für Grundstücksvermittelung und Lichtreklame in Liqu.,, Berlin.",309,7245,7246,7261
315,„Ahasver“ Grundstücks-Verwaltungs- und Verwertungs-,309,7261,7261,7279
316,Aka Grundstücks-Akt.-Ges.,309,7279,7279,7298
317,"Act.-Ges. für Bauausführungen, Berlin",310,7298,7298,7323
318,Akt.-Ges. für Baubeteiligungen u. Baufinanzierungen,310,7323,7323,7347
319,Akt.-Ges. für Boden- u. Industriewerte,310,7347,7347,7373
320,Akt.-Ges. für Büro- u. Geschäftshausausbauten,311,7373,7373,7391
321,"A.G. für Eisenbeton- und Tiefbau in Berlin,",311,7391,7391,7417
322,Aktiengesellschaft für Grundstücksbeteiligungen,311,7417,7417,7437
323,Akt.-Ges. für Haus- u. Fabrikbau,312,7437,7437,7447
324,Akt.-Ges. für Hausbesitz,312,7447,7447,7470
325,"Aktiengesellschaft für Immobilien-Verwaltung und Verkehrsinteressen in Berlin-Steglitz, Feuerbachstr. 6.",312,7470,7471,7486
326,"Akt.-Ges. für Industrie, Handel u. Grundstücks-Interessen",312,7486,7486,7500
327,"Akt.-Ges. für Industrie-Räume in Liqu., Berlin.",313,7500,7500,7510
328,Akt.-Ges. für Ladenausstattungen,313,7510,7510,7529
329,Alexahaus Aktiengesellschaft,313,7529,7529,7549
330,Algeni Bauaktiengesellschaft,313,7549,7549,7565
331,Allg. Häuserbau-Act.-Ges. von 1872— Adolf Sommerfeld,314,7565,7565,7669
332,Alte Jacobstrasse 61 Grundstücksverwertungs- Akt.- Ges.,315,7669,7669,7683
