band,page,firmname
1,456,"Carl Kästner, Actien-Gesellschaft."
1,457,Köllmann -Werke Aktiengesellschaft.
1,458,Scheiter & Giesecke Aktiengesellschaft.
1,459,Aktiengesellschaft.
1,459,"Stahl- u. Eisenwerke Döhner, Aktiengesellschaft."
1,460,"Westfälische Metall-Industrie, Actiengesellschaft"
1,460,Fried. Krupp Grusonwerk Aktiengesellschaft.
1,461,Gebr. Ullmaim Aktiengesellschaft.
1,461,Dr. Gaspary & Co. Aktiengesellschaft.
1,462,Kuhnert Turbowerke Akt-Ges.
1,463,R. & G. Schmöle Aktien-Gesellschaft.
1,463,J. C. Hartung Aktiengesellschaft.
1,463,"Bugra, Metallätzerei Akt.-Ges."
1,464,"Gebrüder Kaiser & Co., Aktiengesellschaft."
1,464,Spindel- u. Spinnflügelfabrik Aktiengesellschaft.
1,464,Frankfurter Schleifmittel-Werk Eichler & Co. Akt.-Ges.
1,465,Expresswerke Aktiengesellschaft.
1,465,"Bauer & Schaurte, Rheinische Schrauben- u. Mutternfabrik Akt.-Ges."
1,466,"Rema, Rheinische Maschinenfabrik Aktiengesellschaft."
1,466,Apag Aluminium Präzisionsguß Aktiengesellschaft.
1,466,Aktiengesellschaft A. Hering.
1,467,Mars-Werke Aktiengesellschaft.
1,467,Maschinenfabrik Paul Leistritz Aktien-Gesellschaft.
