firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
48,268,3,1,"W„ Krefft, Aktiengesellschaft in Gevelsberg. ",233.6287078857422,252.2026824951172
49,270,1,1,Deutscher Eisenhandel Aktien-Gesellschaft ,61.65666580200195,80.78739929199219
50,274,3,23,Aktiengesellschaft für Licht- und Kraftversorgung. //,153.34375,202.30213928222656
51,276,9,1,Mundlos Aktien-Gesellschaft. ,327.8349914550781,342.70733642578125
52,278,1,1,"Dampfkessel- u. Gasometerfabrik vormals A. Wilke & Comp, n",57.665870666503906,82.25849151611328
53,279,31,1,Eisenbahn-Verkehrsmittel-Aktiengesellschaft (Eva).,483.9308166503906,504.2035827636719
54,282,1,1,Peipers & Cie. Aktiengesellschaft. ,61.109275817871094,78.77236938476562
55,283,16,1,Großkraftwerk Mannheim Aktiengesellschaft. ,282.3362121582031,301.4147644042969
56,285,17,1,Carbonit Aktiengesellschaft. ,390.6153259277344,406.48974609375
57,287,1,2,Bayerische Elektricitäts-Lieferungs^Gesellschaft //  Aktiengesellschaft.,72.01382446289062,87.17792510986328
58,289,9,1,Sächsische Webstuhlfabrik vorm. Louis Schönherr. //,492.5888366699219,539.232177734375
59,291,8,1,Allgemeine Gas-Actien-Gesellschaft. ,612.2109375,631.652587890625
60,294,1,1,Gebhard & Co. Aktiengesellschaft. ,54.4861946105957,73.56475830078125
61,296,1,1,Fahlberg-List Aktiengesellschaft Chemische Fabriken. //,40.141448974609375,79.5265121459961
62,298,3,2,Aktien-Gesellschaft der Chemischen Produkten-Fabriken Pommerensdorf-Milch. //,445.75885009765625,467.5116271972656
63,301,3,1,Waggonfabrik Jos. Ratbgeber Aktiengesellschaft. //,78.28662109375,129.81332397460938
64,302,40,1,Accumulatoren-Fabrik Aktiengesellschaft. ,571.5761108398438,590.4701538085938
65,305,3,1,Rhein-Main-Donau- Aktiengesellschaft. ,209.68798828125,224.8861846923828
66,310,1,1,"Gladbacher Wollindustrie, Actien-Gesellschaft vorm. L. Josten. //",55.581016540527344,74.13880920410156
67,311,10,1,Nachfrage nach halbwollenen Stoffen. Unter dem Zwang Einfuhrländer immer schwieriger wurde. Pongs & Zahn Textilwerke Aktiengesellschaft. ,525.7636108398438,544.0936889648438
68,313,34,1,Kammgarn-Spinnerei Düsseldorf. ,344.20123291015625,361.017578125
69,315,1,1,Chemische Fabrik Buckau.,53.15125274658203,69.96758270263672
70,317,2,10,"Gehe & Co., Aktiengesellschaft. ",131.4539031982422,149.4539031982422
71,319,4,52,Bachmaim & Ladewig Aktiengesellschaft. ,308.36383056640625,326.36383056640625
72,321,1,1,Lingner-Werke Aktiengesellschaft. ,58.43689727783203,75.14019012451172
73,323,3,2,"Mechanische Treibriemenweberei und Seilfabrik, //  Gustav Kunz, Aktiengesellschaft.",225.1874542236328,244.396240234375
74,325,3,1,Pfeilring-Werke Aktiengesellschaft. ,207.2176513671875,224.27615356445312
75,326,8,1,3 028 261 J. D. Riedel — E. de Haen Aktiengesellschaft. ,287.24285888671875,303.6745300292969
76,328,11,1,G. Feibisch Aktiengesellschaft. ,598.9592895507812,616.6224365234375
77,330,3,1,J. P. Bemberg Aktien-Gesellschaft. ,174.21876525878906,192.79273986816406
78,333,31,1,Meyer Kauffmann Textilwerke Aktien-Gesellschaft.,407.6787109375,426.252685546875
79,335,9,11,Mez A.-G.,597.463623046875,611.4276123046875
80,337,8,1,Prignitzer Eisenbahn. ,263.2928771972656,279.72454833984375
81,338,28,1,Deutsch-Ostafrikanische Gesellschaft. ,600.8538818359375,618.8538818359375
82,340,28,1,V arziner Papierfabrik. ,506.5674133300781,520.9880981445312
83,342,7,1,Elektricitäts-Lieferungs-Gesellschaft. ,256.7252502441406,271.86114501953125
84,345,3,1,Hermann Meyer & Co. Aktiengesellschaft. ,332.736083984375,348.25335693359375
85,347,4,1,Byk-Gulden werke Chemische Fabrik Aktiengesellschaft. ,352.7528381347656,369.18450927734375
86,349,28,1,Th. Goldschmidt Aktiengesellschaft ,426.8176574707031,443.87615966796875
87,352,1,1,Kaiser-Keller Aktiengesellschaft. ,55.10386276245117,73.10386657714844
88,353,10,1,F. Butzke — Bernhard Joseph A.-G. ,344.6509704589844,360.87408447265625
89,355,9,1,Allgemeine Baugesellschaft Lenz & Co. (Kolonialgesellschaft). //,399.6760559082031,418.57012939453125
90,357,42,3,"*) Davon auf Wertpapiere und Beteiligungen 323255, auf Debitoren 4582501 RM.  Rinteln-Stadthagener Eisenbahn.",589.046630859375,608.1773681640625
91,359,11,1,Strausberg-Herzfelder Kleinbahn-Aktiengesellschaft.,350.1156311035156,368.3639221191406
92,361,3,1,Brandenburgische Städtebalm. ,161.4609375,180.902587890625
93,362,45,1,Chemische Fabrik von Heyden Aktiengesellschaft. //,548.086669921875,599.6133422851562
94,364,12,1,Deutsche Eisenbahn-Betriebs-Gesellschaft Actiengesellschaft. //,568.9032592773438,589.6873168945312
95,367,21,1,Spinnerei-Aktiengesellschaft vorm. Joh. Friedr. Klauser. //,512.7398071289062,547.5103759765625
96,369,1,1,Königsberg-Cranzer Eisenbahn. ,56.296058654785156,71.81333923339844
97,370,13,1,Lausitzer Eisenbahn-Aktiengesellschaft. ,566.21875,584.792724609375
98,372,31,9,Liegmtz-Rawitscher Eisenbahn-Gesellschaft. ,495.3428649902344,511.7745361328125
99,374,9,2,"Hageda, Handelsgesellschaft Deutscher Apotheker //  Aktiengesellschaft.",619.5869750976562,634.7733154296875
100,376,13,1,Schering-Kahlbaum A.-G. ,560.6527709960938,575.8973388671875
101,379,5,1,"Zuckerfabrik Rastenburg, Aktiengesellschaft. ",389.9252624511719,405.7996826171875
102,381,3,1,Mecklenburgische Friedrich Wilhelm Eisenbahn. ,169.07308959960938,186.13758850097656
103,383,1,2,Heine & Co. Aktiengesellschaft in Leipzig.,56.19523239135742,73.94284057617188
104,384,10,12,"Vereinigte Gothania-Werke, Aktien-Gesellschaft. ",438.8653259277344,454.73974609375
105,386,3,1,"Leipziger Messe- und Ausstellungs-Aktiengesellschaft, Leipzig. //",189.76234436035156,211.3258514404297
106,388,1,1,Niederlausitzer Eisenbahn-Gesellschaft. ,58.89518356323242,76.64279174804688
