US Company,TFR-500_link_type,TFR-500,Tenenbaum_link_type,Tenenbaum,Moodys 32_link_type,Moodys 32,Moodys 34_link_type,Moodys 34,HB 32_link_type,HB 32,HB 34_link_type,HB 34,HB GmbH_link_type,HB GmbH
The Hoover Co.,USO,True,,False,,False,,False,,False,,False,,False
The International Button Hole Sewing Machine Company,USO,True,,False,USC,True,USC,True,,False,,False,USO,True
"The International Nickel Company, Inc.",USO,True,,False,,False,,False,,False,,False,,False
The Lambert Company,,False,,False,,False,Others,True,,False,,False,,False
The May Department Store Co.,,False,,False,,False,Others,True,,False,,False,,False
The Melltone Corporation,USO,True,,False,,False,,False,,False,,False,,False
The National Acme Co.,,False,,False,,False,,False,USOP,True,USOP,True,,False
The National Cash Register Company,USO,True,USO,True,,False,USO,True,,False,,False,,False
The North American Provision Company,,False,,False,,False,Others,True,,False,,False,,False
The Permutit Company,USO,True,,False,,False,,False,,False,,False,,False
The Pfaudler Co.,USO,True,,False,USO,True,USO,True,USO,True,,False,,False
The Pure Oil Company,USO,True,,False,,False,,False,,False,,False,,False
"The Scholl Mfg. Co., Inc.",USO,True,,False,,False,,False,,False,,False,,False
The Silica Gel Corporation,,False,,False,USC,True,USC,True,,False,,False,,False
The Stanley Works,USO,True,,False,USO,True,,False,,False,,False,,False
The Timken Roller Bearing Company,,False,USO,True,USO,True,USOP,True,,False,,False,,False
The Torrington Company,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
The Westinghouse Air Brake Company,USO,True,,False,,False,,False,,False,,False,,False
The Willys-Overland Company,,False,,False,USC,True,USC,True,,False,,False,,False
The Yale & Towne Manufacturing Company,USO,True,USO,True,USO,True,USO,True,USOP,True,,False,,False
Tide Water Associated Oil Co.,USO,True,USO,True,,False,USO,True,,False,,False,,False
"Titan Company, Inc.",USO,True,,False,,False,,False,,False,,False,,False
Titeflex Metal Hose Co.,USO,True,,False,,False,,False,USOP,True,USOP,True,,False
Tobe Deutschmann Corp.,,False,,False,,False,USC,True,,False,,False,,False
Trubenizing Process Corporation,USO,True,,False,,False,,False,,False,,False,,False
Turner tanning Machinery Co.,,False,,False,Others,True,,False,,False,,False,,False
Twentieth Century-Fox Film Corp.,USO,True,USO,True,USO,True,USO,True,USOP,True,,False,,False
U.S. Bronze Powder Works Inc.,,False,,False,,False,,False,USOP,True,,False,,False
Underwood Elliott Fisher Company,USO,True,USO,True,USOP,True,USOP,True,USOP,True,USO,True,USO,True
Union Banking Corp. Cornelis Lievense,,False,,False,,False,,False,USOP,True,,False,,False
Union Special Machine Co.,USO,True,,False,,False,,False,,False,,False,,False
United American Bosch Corporation,,False,,False,DEO,True,USC,True,,False,,False,,False
United Continental Corporation,USO,True,,False,,False,,False,,False,,False,,False
United Fruit Company,USO,True,,False,,False,,False,,False,,False,,False
United Press Associations,USO,True,,False,,False,,False,,False,,False,,False
United Shoe Machinery Corporation,USO,True,,False,,False,,False,,False,,False,USO,True
United States Hoffman Machinery Corporation,USO,True,USO,True,,False,USO,True,,False,,False,,False
"United States Lines Operations, Inc.",USO,True,,False,,False,,False,,False,,False,,False
United States Steel Corporation,,False,,False,DEO,True,,False,,False,,False,,False
"United Statess Lines, Co.",USO,True,,False,,False,Others,True,,False,,False,,False
"Universal Picture Co., Inc.",USO,True,USO,True,,False,USO,True,,False,,False,,False
Valvoline Oil Co.,,False,,False,,False,Others,True,,False,,False,,False
"W. A. Harriman & Co., Inc., New York.",,False,,False,,False,,False,USOP,True,USOP,True,,False
"W. A. Harriman & Co., New York",,False,USO,True,,False,,False,,False,,False,,False
Walter Kidde & Company,USO,True,,False,,False,,False,,False,,False,,False
Warner Bros,,False,,False,,False,,False,USO,True,,False,,False
Watch Tower Bible & Tract Society,USO,True,,False,,False,,False,,False,,False,,False
Waterman Steamship,USO,True,,False,,False,,False,,False,,False,,False
Western Electric Export Corporation,USO,True,,False,,False,,False,,False,,False,,False
Westhold Corporation,USO,True,,False,,False,,False,,False,,False,,False
Westinghouse Electric International Co.,,False,USC,True,,False,,False,,False,,False,,False
"William R. Warner & Co., Inc.",USO,True,,False,,False,,False,,False,,False,,False
William Rhodes Davis,,False,USO,True,,False,,False,,False,,False,,False
Witroth Corporation,USO,True,,False,,False,,False,,False,,False,,False
Wm. Wrigley Jr. Company,,False,USO,True,,False,USO,True,USOP,True,USC,True,,False
Worthington Pump and Machinery Corp.,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
